date,open,high,low,volume,close,direction
12-03-2007,224.822739,226.154083,224.097458,6975800,225.905701,1
13-03-2007,223.600693,224.504807,219.984207,12837400,220.083572,0
14-03-2007,220.182922,222.880371,218.081589,16138000,222.552505,1
15-03-2007,222.482956,223.456635,220.535629,7939500,221.653366,0
16-03-2007,221.385101,221.906708,218.523712,11391800,219.00061,0
19-03-2007,220.192856,222.800888,218.891327,10462800,222.169998,1
20-03-2007,221.454651,222.353806,220.36673,6887500,221.201294,0
21-03-2007,221.211227,226.809814,221.166519,11671900,226.799881,1
22-03-2007,226.332916,229.591721,224.802872,11435200,229.527145,1
23-03-2007,229.234055,230.197784,227.063171,8276000,229.422821,0
26-03-2007,228.786957,230.997589,226.337891,9481800,230.997589,1
27-03-2007,230.277267,231.111847,228.682632,7530900,230.312042,0
28-03-2007,229.442703,231.216156,228.588257,9242800,229.447662,0
29-03-2007,230.774033,231.494354,226.029892,8028800,228.970764,0
30-03-2007,229.556946,230.202759,226.596207,6804200,227.599686,0
02-04-2007,227.40097,227.783493,224.599197,6941700,227.783493,1
03-04-2007,230.52565,235.592697,230.500809,13088100,234.773026,1
04-04-2007,234.54451,234.971741,233.272781,7606600,233.988129,0
05-04-2007,234.127228,234.519669,233.292664,5466900,234.231552,1
09-04-2007,234.961807,234.971741,231.29068,6164000,232.592209,0
10-04-2007,232.035828,233.873871,231.077072,5997200,231.742737,0
11-04-2007,231.524155,233.183365,229.810303,7673500,230.764099,0
12-04-2007,230.500809,232.487885,229.626495,5450900,232.18486,1
13-04-2007,232.711441,232.870407,230.182877,5625800,231.638412,0
16-04-2007,232.7164,236.953842,232.562408,10221800,235.602631,1
17-04-2007,235.369156,236.655777,234.27626,6461900,234.872375,0
18-04-2007,234.107361,238.399445,233.24794,11414700,236.46701,1
19-04-2007,235.716888,239.417816,233.277756,22162400,234.301102,0
20-04-2007,243.675125,244.658737,239.452591,24481100,239.681107,1
23-04-2007,238.498795,240.932968,237.584747,11422900,237.992096,0
24-04-2007,237.758606,238.439178,236.238495,7437400,237.222092,0
25-04-2007,238.449112,239.129684,236.516693,7985200,237.450607,1
26-04-2007,237.505264,240.659744,237.013458,8303300,239.035309,1
27-04-2007,238.483887,239.641357,237.619507,5889300,237.957321,0
30-04-2007,238.026871,239.119751,234.166977,7329700,234.166977,0
01-05-2007,234.569351,234.87735,230.585266,7364000,232.984665,0
02-05-2007,232.810791,234.017944,231.360229,6165200,231.385056,0
03-05-2007,231.603638,235.503281,231.141647,7235000,235.085999,1
04-05-2007,233.541046,235.885788,231.434738,7951300,234.037811,0
07-05-2007,234.54451,234.882324,231.727829,6079300,232.125244,0
08-05-2007,231.558929,232.572342,230.863449,5847900,231.896729,0
09-05-2007,231.568863,234.340836,230.441208,7830200,233.108856,1
10-05-2007,232.010986,233.228073,229.020447,7420400,229.243988,0
11-05-2007,229.422821,231.991119,229.010513,5926300,231.861969,1
14-05-2007,231.236038,232.244476,228.513733,7795600,229.39798,0
15-05-2007,229.487411,229.775528,227.227112,8291500,227.520203,0
16-05-2007,229.507278,235.04129,228.026901,13193600,234.778,1
17-05-2007,234.703476,236.07457,233.883804,9381800,233.958328,0
18-05-2007,234.489868,234.822708,233.357239,7439800,233.640396,0
21-05-2007,233.24794,238.051697,231.85202,12398600,233.779495,1
22-05-2007,234.971741,237.957321,234.971741,7727900,236.392502,1
23-05-2007,238.856476,240.143097,235.344315,10186200,235.453598,0
24-05-2007,236.039795,238.051697,234.226578,8401400,235.632431,1
25-05-2007,238.300095,240.908127,237.092941,10766400,240.197739,1
29-05-2007,240.932968,244.310989,240.436188,10503800,241.98114,1
30-05-2007,240.684586,247.808243,239.939423,14585700,247.689026,1
31-05-2007,248.662689,252.746124,246.923996,17964600,247.346252,0
01-06-2007,248.881271,250.878281,247.356186,9660200,248.583206,1
04-06-2007,247.346252,253.605545,247.187286,14294300,251.896652,1
05-06-2007,253.227997,257.82312,251.668137,21030000,257.743622,1
06-06-2007,256.705383,258.707367,255.965195,15875900,257.450531,0
07-06-2007,258.195679,261.548889,254.599075,21399200,255.865845,0
08-06-2007,256.432159,258.141052,253.083939,12799000,256.079437,1
11-06-2007,255.349197,257.450531,253.352188,9355700,254.017853,0
12-06-2007,252.711349,254.181793,249.959259,12922400,250.754089,0
13-06-2007,251.906586,252.626907,247.733734,14159400,250.987564,1
14-06-2007,251.057114,251.305496,249.229004,9302500,249.795319,0
15-06-2007,252.453033,252.855423,248.995529,12428400,251.310471,1
18-06-2007,251.454529,256.332794,250.490799,9734600,255.935394,1
19-06-2007,255.344238,256.953766,254.117218,8767200,255.493256,0
20-06-2007,256.809692,257.698914,252.885223,8732700,253.33728,0
21-06-2007,253.83902,255.980103,251.504211,8876700,255.393906,1
22-06-2007,256.541443,260.798767,256.382477,14501000,260.793793,1
25-06-2007,262.780853,265.766449,259.998962,15953000,262.00589,1
26-06-2007,264.643738,264.877228,261.419708,11452900,263.416718,1
27-06-2007,260.803711,262.289063,258.101288,12325700,261.44455,0
28-06-2007,260.74411,263.039185,260.207611,8391000,260.808685,0
29-06-2007,261.310425,261.995972,258.051636,7811600,259.661163,0
02-07-2007,261.04715,264.206604,260.406311,7020400,263.476349,1
03-07-2007,263.814148,265.473358,262.045654,3767800,265.443542,1
05-07-2007,266.049591,270.44104,264.355621,9949900,269.065002,1
06-07-2007,268.876221,270.177765,267.624359,5529500,267.957184,0
09-07-2007,269.745575,272.597015,268.38443,7508100,269.526978,1
10-07-2007,270.138,271.732635,269.074921,7762100,269.914459,1
11-07-2007,270.048584,271.484253,268.260223,6661500,270.47583,1
12-07-2007,271.166321,271.891602,268.364532,6927900,270.903046,1
13-07-2007,272.184692,274.549316,271.856842,10542200,274.295959,1
16-07-2007,273.371979,277.485229,272.880188,13284700,274.708282,1
17-07-2007,275.726654,277.062958,274.405273,8713400,275.706787,1
18-07-2007,275.155365,275.458405,270.147949,12239000,272.974548,0
19-07-2007,274.941772,274.971588,269.368011,22399000,272.522491,0
20-07-2007,254.296051,259.899597,253.103806,35775700,258.379486,0
23-07-2007,257.828064,258.319885,254.420242,12796000,254.599075,0
24-07-2007,253.004456,257.669098,251.916519,11216600,255.339264,1
25-07-2007,256.819641,256.839508,251.14653,11162000,253.232971,0
26-07-2007,252.726257,254.638824,247.82811,13856200,252.358643,0
27-07-2007,252.621933,256.640808,251.11673,11089800,254.291077,1
30-07-2007,254.80275,257.992004,253.600571,7978000,256.387451,1
31-07-2007,258.434143,258.538452,253.352188,8596400,253.352188,0
01-08-2007,253.600571,256.586151,252.428192,8913900,254.812683,1
02-08-2007,255.200165,255.83107,252.855423,6350800,253.853928,0
03-08-2007,253.377029,254.941849,249.874802,6393600,249.874802,0
06-08-2007,249.874802,253.426697,249.626419,7350400,253.352188,1
07-08-2007,253.227997,258.260254,252.87529,8584000,256.342743,1
08-08-2007,257.992004,261.191193,256.874268,8190400,261.191193,1
09-08-2007,258.717285,261.707855,255.652222,9755900,255.701904,0
10-08-2007,253.441605,257.684021,251.181305,11826700,256.208618,1
13-08-2007,258.09137,258.195679,254.857391,6399800,256.084412,0
14-08-2007,256.193695,257.02829,252.358643,7314500,252.656708,0
15-08-2007,252.855423,254.191727,246.750122,10889300,247.167419,0
16-08-2007,244.420288,246.611038,238.677628,17403600,244.17189,0
17-08-2007,247.112762,248.881271,244.236481,11030000,248.404373,1
20-08-2007,249.606552,249.656219,246.397415,5429600,247.351212,0
21-08-2007,247.857925,252.438126,247.276703,7268100,251.668137,1
22-08-2007,253.332321,256.457001,252.979614,6547600,254.718307,1
23-08-2007,256.332794,256.397369,251.861877,6193400,254.440109,0
24-08-2007,254.648758,256.109253,252.60704,4977400,255.836029,1
27-08-2007,255.552872,257.053131,254.047668,4680300,254.971649,0
28-08-2007,254.112244,255.826096,251.260788,6590200,251.563812,0
29-08-2007,252.27916,254.991531,251.976135,5131700,254.782883,1
30-08-2007,254.524567,256.034729,253.64032,5337800,254.047668,0
31-08-2007,254.892166,256.581177,254.082443,5993800,255.96022,1
04-09-2007,255.845963,262.294037,255.647263,7435400,260.878235,1
05-09-2007,260.008881,263.029236,259.437622,6668900,262.194672,1
06-09-2007,262.969635,263.203125,257.445557,7298900,260.068512,0
07-09-2007,257.256805,258.935883,256.730225,7374800,257.996979,0
10-09-2007,258.95575,259.348175,253.789352,6493500,255.577713,0
11-09-2007,256.824615,259.139557,256.198669,5442300,258.980591,1
12-09-2007,258.58316,262.284088,257.82312,6010800,259.636322,1
13-09-2007,260.336761,261.901581,259.919464,3806600,260.694427,1
14-09-2007,259.909546,263.421692,259.422699,5565600,262.666595,1
17-09-2007,261.563782,262.929901,260.341736,4423400,260.952759,0
18-09-2007,261.558807,266.88913,260.441071,8486100,265.905548,1
19-09-2007,267.892609,272.949738,267.688934,11125600,271.658112,1
20-09-2007,271.732635,276.600983,271.250763,11121800,274.628815,1
21-09-2007,276.372467,278.583099,274.628815,16127600,278.240326,1
24-09-2007,278.687408,283.883606,278.190643,10662800,282.174713,1
25-09-2007,280.177704,282.939758,279.611389,5496600,282.66156,1
26-09-2007,283.357025,284.047546,280.083313,6735500,282.244263,0
27-09-2007,284.017731,284.022705,281.061951,4139300,281.916412,0
28-09-2007,281.66803,282.934784,280.237335,5313200,281.802155,0
01-10-2007,283.143433,290.286957,282.9646,9483800,289.392792,1
02-10-2007,289.805084,296.476715,288.130981,14226900,290.306824,1
03-10-2007,291.230835,292.59198,288.30484,7809400,290.123016,0
04-10-2007,290.654572,290.654572,286.665527,6012200,287.644165,0
05-10-2007,291.658051,296.07431,291.608368,10203200,295.105621,1
08-10-2007,295.577545,303.158234,295.055939,10121300,302.840302,1
09-10-2007,305.567566,309.874573,302.229279,17649500,305.602356,1
10-10-2007,308.672394,310.81842,306.407104,10841200,310.674377,1
11-10-2007,314.772705,318.632599,302.532318,23751300,308.990326,0
12-10-2007,309.973907,317.137329,307.122467,13736100,316.63559,1
15-10-2007,317.172089,317.86261,305.786163,13977800,308.051422,0
16-10-2007,307.246643,310.937653,304.01767,12128900,306.009705,0
17-10-2007,313.188019,314.951538,308.786652,12139300,314.693237,1
18-10-2007,315.651978,318.612732,312.219299,24738100,317.743378,1
19-10-2007,325.1651,327.117432,319.536713,31783200,320.271942,1
22-10-2007,317.271454,325.383698,316.084167,13415400,323.27243,1
23-10-2007,328.488495,336.610657,327.867523,13675600,335.701599,1
24-10-2007,334.181458,336.546082,327.648956,14904600,335.72641,1
