date,open,high,low,volume,close,direction,day,week
03-01-2007,231.494354,236.789917,229.065155,15513200,232.28421,0,Wednesday,1
08-01-2007,242.269272,243.352234,239.542007,9570600,240.227554,0,Monday,2
16-01-2007,252.135101,254.842499,250.023834,15236200,250.510666,0,Tuesday,3
22-01-2007,244.658737,244.733246,237.703964,10878900,238.866409,0,Monday,4
29-01-2007,247.390961,247.763535,243.665192,9613400,244.643829,0,Monday,5
05-02-2007,237.207199,237.455582,231.588745,14507500,232.070602,0,Monday,6
12-02-2007,228.851547,229.701019,226.039825,11583800,227.664261,0,Monday,7
20-02-2007,232.721375,234.847549,230.853516,8188000,234.524643,1,Tuesday,8
26-02-2007,234.887283,236.089462,230.376617,7991400,230.962814,0,Monday,9
05-03-2007,217.097992,221.310593,217.088058,12792800,219.050293,1,Monday,10
12-03-2007,224.822739,226.154083,224.097458,6975800,225.905701,1,Monday,11
19-03-2007,220.192856,222.800888,218.891327,10462800,222.169998,1,Monday,12
26-03-2007,228.786957,230.997589,226.337891,9481800,230.997589,1,Monday,13
02-04-2007,227.40097,227.783493,224.599197,6941700,227.783493,1,Monday,14
09-04-2007,234.961807,234.971741,231.29068,6164000,232.592209,0,Monday,15
16-04-2007,232.7164,236.953842,232.562408,10221800,235.602631,1,Monday,16
23-04-2007,238.498795,240.932968,237.584747,11422900,237.992096,0,Monday,17
30-04-2007,238.026871,239.119751,234.166977,7329700,234.166977,0,Monday,18
07-05-2007,234.54451,234.882324,231.727829,6079300,232.125244,0,Monday,19
14-05-2007,231.236038,232.244476,228.513733,7795600,229.39798,0,Monday,20
21-05-2007,233.24794,238.051697,231.85202,12398600,233.779495,1,Monday,21
29-05-2007,240.932968,244.310989,240.436188,10503800,241.98114,1,Tuesday,22
04-06-2007,247.346252,253.605545,247.187286,14294300,251.896652,1,Monday,23
11-06-2007,255.349197,257.450531,253.352188,9355700,254.017853,0,Monday,24
18-06-2007,251.454529,256.332794,250.490799,9734600,255.935394,1,Monday,25
25-06-2007,262.780853,265.766449,259.998962,15953000,262.00589,1,Monday,26
02-07-2007,261.04715,264.206604,260.406311,7020400,263.476349,1,Monday,27
09-07-2007,269.745575,272.597015,268.38443,7508100,269.526978,1,Monday,28
16-07-2007,273.371979,277.485229,272.880188,13284700,274.708282,1,Monday,29
23-07-2007,257.828064,258.319885,254.420242,12796000,254.599075,0,Monday,30
30-07-2007,254.80275,257.992004,253.600571,7978000,256.387451,1,Monday,31
06-08-2007,249.874802,253.426697,249.626419,7350400,253.352188,1,Monday,32
13-08-2007,258.09137,258.195679,254.857391,6399800,256.084412,0,Monday,33
20-08-2007,249.606552,249.656219,246.397415,5429600,247.351212,0,Monday,34
27-08-2007,255.552872,257.053131,254.047668,4680300,254.971649,0,Monday,35
04-09-2007,255.845963,262.294037,255.647263,7435400,260.878235,1,Tuesday,36
10-09-2007,258.95575,259.348175,253.789352,6493500,255.577713,0,Monday,37
